,0
0,Mississippi
1,New Hampshire
2,Ohio
3,Oklahoma
4,Oregon
5,Pennsylvania
6,Rhode Island
7,South Carolina
8,South Dakota
9,Tennessee
10,Texas
11,Utah
12,Vermont
13,Virginia
14,Washington
15,West Virginia
16,Wisconsin
17,Wyoming
